lemma,norm
smoke,3.5772288
reaction,2.8260424
rain,3.600904
busy,2.6182044
lesson,3.0514393
brain,3.4192467
mass,2.66712
funny,2.8124216
contribute,2.61287
failure,2.7269733
schedule,2.9341328
speaker,2.934468
bottom,2.6319265
adopt,2.8019955
combine,2.5034387
mountain,2.9909236
waste,3.0652025
hide,3.055787
marriage,3.4848874
ticket,3.2765934
meal,3.0449932
colleague,2.6712406
bag,2.9855819
repeat,3.0568533
equal,2.6177683
expression,2.7954915
plus,1.8776103
extremely,2.5776746
owner,2.647688
plane,3.2181745
commercial,2.2262862
lady,2.9394915
duty,2.9570365
strength,2.5722632
connect,2.8234012
cultural,2.7508433
arrange,2.9466722
scheme,2.8644826
payment,2.846454
unfortunately,2.0369866
brief,2.434521
bird,3.1172485
demonstrate,2.4939244
contribution,2.8080597
appreciate,2.7346666
chapter,2.9796066
secret,2.888938
apparently,1.798328
novel,3.137253
union,3.0326161
burn,3.106841
trend,2.994165
initial,2.2989774
pleasure,2.914489
suggestion,2.5565314
critical,2.420879
gather,2.6880202
mostly,2.1825085
earth,2.8827674
pop,2.7156162
essential,2.5426252
desire,2.695117
promote,2.588846
currently,2.3561573
employ,2.8275304
path,2.9800918
topic,3.2578313
beach,3.03471
attract,2.992344
engage,2.6949282
powerful,2.4262528
flower,3.064935
crisis,2.8919923
settle,2.9133804
boat,3.1472313
aid,2.7712066
fan,3.1005118
kitchen,2.8698287
twice,2.0792131
fresh,2.3997195
delay,2.7401123
safety,2.810707
engineer,3.3443267
quiet,2.6981108
insurance,3.138622
nurse,3.0223937
divide,3.193294
length,2.8828318
investigation,3.4469821
package,2.5944602
somewhere,2.5312037
expand,2.8110375
commit,2.7443807
obvious,2.341871
jump,2.69191
weapon,3.2187252
relatively,2.5713885
host,2.359211
winter,2.6618655
district,2.7438145
broad,2.6588812
tire,3.423905
spring,2.4002323
spirit,2.869815
lunch,2.9126024
actual,2.289585
pool,2.7445655
battle,2.90776
tradition,3.094632
cash,2.6930723
hardly,2.3243382
award,2.813108
coach,3.2788856
experiment,2.813666
consideration,2.762011
strange,2.44935
code,3.0125844
possibly,1.7202604
threat,2.9489818
accident,3.1512992
impossible,2.8586626
revenue,3.201556
enable,2.6121356
afraid,2.6671896
active,2.575161
conclude,2.552743
religious,2.8298612
cancer,3.2862446
convince,2.757076
vary,3.7987018
environmental,2.8378248
sun,3.2240968
healthy,2.6714108
blow,3.1577556
volume,2.8967829
location,2.649029
invest,3.0938914
proceed,2.7760224
wash,2.883292
actor,3.0371156
glad,2.7115474
tape,3.209072
whereas,1.8380991
opposite,2.7350817
stone,2.89711
sum,2.8033872
murder,3.3668842
monitor,2.9795659
soldier,3.3992047
finance,2.6095397
hate,2.8183622
egg,3.2043784
concert,2.9408624
shock,2.8579834
comfortable,2.7042248
usual,2.389523
carefully,3.1367972
pack,2.5440485
recall,3.0815454
wine,3.263499
camera,2.9950676
swim,3.461106
manufacture,3.0844731
theater,2.7977233
cycle,2.681897
coffee,2.9894636
totally,2.7117817
museum,3.051657
visitor,2.8276038
freedom,2.9942617
construction,2.634656
dear,3.0551417
objective,2.734573
moreover,1.791902
onto,2.5816026
historical,2.8332908
oppose,3.0642593
branch,2.7896721
vehicle,2.7680383
scientist,3.6330407
route,2.8037415
bind,2.9857738
belong,2.7255218
taste,2.874677
tonight,2.4921257
fashion,2.6757421
danger,2.8163931
bomb,3.8210163
army,2.8346334
dangerous,2.6771128
decrease,2.95654
hurt,2.8089173
council,2.8216338
editor,3.613735
normally,2.1592157
sight,2.5481734
generate,2.756379
gift,2.8727012
delivery,2.7776084
deny,2.7076404
guest,2.8260932
anybody,2.6854002
bedroom,3.2057092
quote,2.6950722
climb,3.0673308
basically,2.1019852
violence,3.1761675
minister,3.410961
mainly,2.2292926
mouth,3.2320263
noise,3.2918644
manner,2.664594
gun,3.3649087
square,2.7357476
occasion,2.6231215
familiar,2.8834753
ignore,2.7151203
destroy,2.8721857
affair,3.074712
civil,3.1215987
locate,2.9297254
citizen,2.9273922
temperature,3.645041
gold,2.9405468
domestic,2.5379934
load,2.8523383
belief,2.67351
troop,4.0008316
technical,2.537286
remind,2.717595
arrangement,2.6966283
skin,3.1246848
prison,3.3227909
switch,2.7033212
acquire,2.996371
corporate,2.379509
fairly,2.5217576
wood,3.0760043
participate,2.822644
tough,2.769246
tear,2.9335802
representative,2.4671257
capacity,2.648364
border,3.1055515
shake,2.8668146
assessment,2.7730722
shoe,3.0335395
ought,2.2667964
ad,3.223964
fee,3.2423704
hall,2.829563
regulation,2.9844556
escape,2.9241085
studio,2.833505
proper,2.4023848
relax,2.9828932
tourist,3.3535104
component,2.4128203
afford,2.9210231
lawyer,3.1154335
suspect,2.6672134
cup,3.0623617
description,3.1223783
confidence,3.0364323
industrial,2.6718106
complain,2.7319705
perspective,2.7977889
error,3.6465068
arrest,3.083979
assess,2.9211645
register,3.1305776
asset,2.7820473
signal,2.9207578
finger,3.5427415
relevant,2.7499712
explore,2.7207303
leadership,2.5662303
commitment,2.7611063
wake,2.5872695
necessarily,2.5093145
bright,2.7343197
frame,2.475216
slowly,2.7076669
bond,3.4940858
hire,2.92164
hole,2.9963672
tie,2.7041252
internal,2.4310925
chain,2.9670842
literature,2.8256273
victim,2.7655528
threaten,3.1130583
division,2.420149
secure,2.495336
amaze,3.8868215
device,2.7342093
birth,3.214214
forest,3.2179537
label,3.1238346
root,2.941015
factory,3.25533
expense,2.688338
channel,2.7155116
investigate,3.0996094
recommendation,2.983711
rank,3.1821294
typical,2.3354774
west,2.4894423
friendly,2.7092578
resident,2.576137
provision,2.6596823
concentrate,2.9248111
plenty,2.693667
export,3.1499305
entirely,2.4488063
strongly,2.5250163
bridge,3.0160432
consist,3.2945364
graduate,2.7748473
brand,2.6374557
moral,3.0782318
insist,2.4719505
combination,2.1949503
abuse,3.091158
ice,3.0282967
principal,2.682687
master,2.5986483
definitely,2.3124185
session,2.9069192
grade,3.102842
nevertheless,1.7191786
predict,3.0888298
previously,2.1416087
protection,2.791324
largely,2.5832927
wed,3.7903602
rent,2.9677637
shot,2.6875982
appearance,2.8848777
reasonable,2.6964025
guarantee,2.59695
till,2.7195048
theme,3.0589411
judgment,3.1537278
odd,2.2856321
approve,2.9482422
loan,3.192381
definition,2.9865217
elect,2.6702452
atmosphere,3.2896347
farmer,3.3533413
comparison,2.8510406
characteristic,2.4455197
license,3.269243
rely,3.0375772
narrow,2.6493175
succeed,2.6245873
identity,3.0403519
desk,3.1063766
permit,2.935962
seriously,2.6594076
wild,2.665004
empty,2.936837
commission,2.6072013
unique,2.2435281
association,2.4893494
instrument,3.027136
investor,3.191728
practical,2.4958396
tea,3.3310723
lovely,2.603193
soft,2.55121
row,2.6076393
youth,2.5481782
lock,2.6693714
fuel,2.8610394
expectation,2.5788863
employment,2.880477
celebrate,2.9650385
sexual,3.6431508
shoulder,3.036665
breath,3.2873423
increasingly,2.7813926
import,2.897586
bottle,3.111013
ourselves,3.1090252
